50 Cent|60 Cent|1975-07-06
Akina Minami|Akane Minaro|1989-05-15
Akira Kurosawa|Akito Kurosaki|1910-03-23 – 1998-09-06
Akira Takarada|Akaji Takahara|1934-04-29 – 2022-03-14
Akira Terao|Akito Terata|1947-05-18
Akiva Schaffer|Arvid Schaflen|1977-12-01
Akiyuki Nosaka|Akiyoshi Nozuki|1930-10-10 – 2015-12-09
Aksel Hennie|Askel Hennin|1975-10-29
Al Brodax|Art Brutax|1926-02-14 – 2016-11-24
Al Checco|Art Cicco|1921-07-21 – 2015-07-19
Al Gore|Al Goat|1948-03-31
Al Jolson|Ed Jolman|1886-05-26 – 1950-10-23
Al Madrigal|Al Madronal|1971-07-04
Al Pacino|El Pacini|1940-04-25
Al Waxman|Abe Wachsmann|1935-03-02 – 2001-01-18
Alain Chabat|Allain Chabert|1958-11-24
Alain Cohen|Alvin Cohab|1958-01-10
Alain Cuny|Alvin Cunning|1908-07-12 – 1994-05-16
Alain Delon|Allain Delong|1935-11-08 – 2024-08-18
Alain Gsponer|Alvin Gspanner|1976-03-10
Alain Moussi|Allain Mussier|1981-03-29
Alain Prost|Allain Post|1955-02-24
Alain Resnais|Alvin Ressan|1922-06-03 – 2014-03-01
Alan Alda|Adam Alter|1936-01-28
Alan Arkin|Allen Archen|1934-03-26 – 2023-06-29
Alan Badel|Adam Badoll|1923-09-11 – 1982-03-19
Alan Bates|Alan Gates|1934-02-17 – 2003-12-27
Alan Cox|Allen Cux|1970
Alan Cumming|Adan Culmin|1965-01-27
Alan Hale Jr.|Adam Hail Jr.|1921-03-08 – 1990-01-02
Alan Howard|Adam Harvey|1937-08-05 – 2015-02-14
Alan J. Pakula|Adam J. Paluka|1928-04-07 – 1998-11-19
Alan J.W. Bell|Adam J.W. Yell|1937-11-14 – 2023-10-19
Alan Kim|Adam Kum|2012-04-23
Alan King|Adam Koenig|1927-12-26 – 2004-05-09
Alan Ladd|Andy Ledd|1913-09-03 – 1964-01-29
Alan Mak|Aaron Mek|1968-01-01
Alan Mehrez|Aaron Melrez|
Alan Metter|Adam Meiller|1942-12-19 – 2020-06-07
Alan Myerson|Alan Meyerman|1940-07-01
Alan Napier|Alaric Nopier|1903-01-07 – 1988-08-08
Alan Parker|Aaron Parkin|1944-02-14 – 2020-07-31
Alan Rickman|Adam Rickson|1946-02-21 – 2016-01-14
Alan Roberts|Adam Rotbarts|1946-11-02 – 2016-07-03
Alan Ruck|Adam Rueck|1956-07-01
Alan Scarfe|Aaron Scarn|1946-06-08 – 2024-04-28
Alan Silvestri|Alan Sylvester|1950-03-26
Alan Smithee|Alan Smithee|
Alan Taylor|Aaron Saylor|1965
Alan Tudyk|Andy Tulayr|1971-03-16
Alan Turing|Alan Tournee|1912-06-23 – 1954-06-07
Alan van Sprang|Adam von Spring|1971-06-19
Alan Young|Adam Jung|1919-11-19 – 2016-05-19
Alana Haim|Aline Heyme|1991
Alanis Morissette|Amaris Molissette|1974-06-01
Alastair Fothergill|Aleister Fathergrill|1960-04-10
Alastair Sim|Aleister Sum|1900-10-09 – 1976-08-19
Alba Baptista|Alya Bovista|1997-07-10
Alba Rohrwacher|Alma Ruhrwacker|1979-02-27
Albert Birney|Alfred Bernay|1982-03-02
Albert Brooks|Alfred Brucks|1947-07-22
Albert Calleros|Alban Calveras|1969-04-06
Albert Dekker|Alfred Daeckel|1905-12-20 – 1968-05-05
Albert Dupontel|Adrien Durandell|1964-01-11
Albert Einstein|Albert Steinsein|1879-03-14 – 1955-04-18
Albert Finney|Alfred Finnson|1936-05-09 – 2019-02-07
Albert Hall|Alfred Mall|1937-11-10
Albert Hughes|Alfred Hulls|1972-04-01
Albert Magnoli|Alfred Mongolia|1954
Albert Maysles|Albert Mayslins|1926-11-26 – 2015-03-05
Albert Pyun|Alfred Ponyu|1953-05-19 – 2022-11-26
Albert Roscoe|Adrien Roscom|1886-08-23 – 1933-03-08
Albert Rémy|Adrien Ramin|1915-04-09 – 1967-01-26
Albert Serra|Alban Sarren|1975-10-09
Albert Uderzo|Adrien Uzberto|1927-04-25 – 2020-03-24
Alberto Lattuada|Adolfo Lattarido|1914-11-13 – 2005-07-03
Alberto Lionello|Adolfo Liorelli|1930-07-12 – 1994-07-14
Albrecht Schuch|Alfred Schluchz|1985-08-21
Alden Ehrenreich|Alton Ehrenmann|1989-11-22
Aldis Hodge|Arliss Hotch|1986-09-20
Aldo Giuffrè|Alfio Giofree|1924-04-10 – 2010-06-26
Aldo Ray|Alfio Rex|1926-09-25 – 1991-03-27
Alec Baldwin|Alex Boltwin|1958-04-03
Alec Guinness|Alex Ginnesse|1914-04-02 – 2000-08-05
Alec McCowen|Alex McCowbell|1925-05-26 – 2017-02-06
Alejandro Agresti|Alessandro Arresti|1961-06-02
Alejandro Amenábar|Alessandro Amanáber|1972-03-31
Alejandro González Iñárritu|Adriano González Iñárrestu|1963-08-15
Alejandro Jodorowsky|Alessandro Jodorinsky|1929-02-17
Alejandro Monteverde|Anacleto Montevesre|1965-07-13
Alek Keshishian|Alec Kishashian|1964-07-30
Aleksa Palladino|Alina Pallerino|1980-09-21
Aleksander Krupa|Alexander Krupin|1947-03-18
Aleksandr Antonov|Anton Alexandrov|1898-02-01 – 1962-11-23
Aleksandr Kaydanovskiy|Aleksej D. Kaymandovskiy|1946-07-23 – 1995-12-03
Aleksei Serebryakov|Andrei Silveryov|1964-07-03
Alena Penz|Alina Ponz|1949-08-16
Alena Yiv|Alina Yinn|1979-11-30
Alessandra Mastronardi|Alessia Mastandrea|1986-02-18
Alessandro Borghi|Alessio Brighi|1986-09-19
Alessandro Gassmann|Alessio D. Gaston|1965-02-24
Alessandro Nivola|Alejandro Nebula|1972-06-28
Alex Abbad|Axel Abden|1978-06-18
Alex Borstein|Ashley Bordsteen|1971-02-15
Alex Cox|Alistair Cux|1954-12-15
Alex D. Linz|Axel D. Lunz|1989-01-03
Alex Esmail|Axel Esmaul|1993-07-18
Alex Essoe|Axel Essar|19xx
Alex Garland|Alec Girland|1970-05-26
Alex Gelman|Alec Gelling|
Alex Gerry|Axel Gary|1904-10-06 – 1993-05-18
Alex Gibney|Axel Gilroy|1953-10-23
Alex Hassell|Axel Haskel|1980-09-17
Alex Hyde-White|Alec Hayd-Vice|1959-01-30
Alex Jennings|Axel Jenners|1957-05-10
Alex Jones|Alex James|1974-02-11
Alex Kurtzman|Alec Kuertzer|1973-09-07
Alex McArthur|Axel McAlbert|1957-03-06
Alex Palmer|Alec Palmen|
Alex Pettyfer|Axel Prettyfaire|1990-04-10
Alex Proyas|Alec Prayloss|1963-09-23
Alex R. Hibbert|Alec R. Hibson|2004-07-04
Alex Reid|Alex Rayd|1980-12-23
Alex Roe|Axel Rue|1990-06-18
Alex Scott|Axel Scotch|1929-09-18 – 2015-06-25
Alex Segal|Alec Seagul|1915-07-01 – 1977-08-22
Alex Sharp|Alec Scharf|1989-02-02
Alex Vincent|Alistair Victor|1981-04-29
Alex Winter|Axel Wintrig|1965-07-17
Alex Wolff|Axel Wulf|1997-11-01
Alexa Davalos|Alisha Daveles|1982-05-28
Alexa PenaVega|Alisha PinaVarga|1988-08-27
Alexander Beyer|Amadeus Bair|1973-06-24
Alexander Conte|Alec Sander Comte|
Alexander DiPersia|Alec Sander DiParia|1982-03-06
Alexander Godunov|Aleksander Gogolev|1949-11-28 – 1995-05-18
Alexander Gould|Aleksander Guolde|1994-05-04
Alexander Grill|Amadeus Griller|1938-06-30 – 2009-05-22
Alexander Hall|Aleksander Mall|1894-01-11 – 1968-07-30
Alexander Held|Amadeus Holdt|1958-10-19
Alexander Ludwig|Aleksander Ludolf|1992-05-07
Alexander Lukashenko|Aleksei Lukovchenko|1954-08-30
Alexander Mackendrick|Aleksander Mackerdeck|1912-09-08 – 1993-12-22
Alexander Payne|Aleksander Pine|1961-02-10
Alexander Pollock|Alessandro Bollock|1989-11-17
Alexander Scheer|Amadeus Schnuur|1976-06-01
Alexander Siddig|Alec Sander Siddon|1965-11-21
Alexander Skarsgård|Alexsander Skogsgård|1976-08-25
Alexander Witt|Amadeus Wytt|1952-04-10
Alexandr Hackenschmied|Alexander Hackerschmitt|1907-12-17 – 2004-07-26
Alexandra Bogojevic|Adriana Bogajovic|1951
Alexandra Daddario|Adrianna Darradio|1986-03-16
Alexandra Harris|Adrianna Harrels|
Alexandra Johnes|Adrianna Jahnos|
Alexandra Maria Lara|Alexandra Marina Laura|1978-11-12
Alexandra Paul|Adrianna Peter|1963-07-29
Alexandra Powers|Adrianna Supers|1967-09-09
Alexandra Shipp|Adrianna Schlepp|1991-07-16
Alexandra Stewart|Adrianna Stuart|1939-06-10
Alexandra Vandernoot|Adriana Vandermut|1965-09-19
Alexandre Aja|Alexandru Ajo|1978-08-07
Alexandre Arbatt|Antoine Arben|1945-06-06 – 2016-06-12
Alexandre Astier|Antoine Astrei|1974-06-16
Alexandre Bustillo|Alphonse Bastello|1975-08-10
Alexandre de La Patellière|Alex de La Paterièlle|1971-06-24
Alexandre O'Neill|Alexander O'Neall|1924-12-19 – 1986-08-21
Alexandre Rignault|Antoine Rinalt|1901-02-14 – 1985-03-31
Alexandre Tharaud|Antoine Tharlen|1968-12-09
Alexey Barabash|Aleksei Baradin|1977-06-12
Alexey Pazhitnov|Andrey J. Pankratov|1955-04-16
Alexi Wasser|Alexa Nasser|1981-02-11
Alexia Barlier|Alicia Barlin|1982-12-21
Alexis Bledel|Alexa Bloedler|1981-09-16
Alexis Chikaeze|Alexa Chikanne|
Alexis Cruz|Alex S. Cruise|1974-09-29
Alexis Denisof|Alex S. Davidoff|1966-02-25
Alexis Neve|Alexo Novi|
Alexis Smith|Ann Avis Swift|1921-06-08 – 1993-06-09
Alexz Johnson|Avisz Jameson|1986-11-04
Alf Clausen|Ulf Klause|1941-03-28 – 2025-05-29
Alfie Allen|Alfi Alley|1986-09-12
Alfie Bass|Arnie Brass|1921-04-08 – 1987-07-15
Alfonso Cuarón|Alfredo Cuadrón|1961-11-28
Alfre Woodard|Albe Woodred|1952-11-08
Alfred Abel|Albrecht Adel|1879-03-12 – 1937-12-12
Alfred Döblin|Alfred Dübling|1878-08-10 – 1957-06-26
Alfred Hitchcock|Alfredo Stitchhog|1899-08-13 – 1980-04-29
Alfred J. Goulding|Albert J. Gulden|1885-01-26 – 1972-04-25
Alfred Molina|Adolf Mulena|1953-05-24
Alfred Noell|Albrecht Nells|1933 – 2023-06-07
Alfred Vohrer|Alfons Vohrmann|1914-12-29 – 1986-02-03
Ali Abbas Zafar|Amil Abbas Zafir|1982
Ali Abbasi|Ale Abbensi|1981
Ali Fazal|Ani Fazel|1986-10-15
Ali Larter|Ale Later|1976-02-28
Ali MacGraw|Ani McGrave|1939-04-01
Alice Braga|Aileen Branco|1983-04-15
Alice Cooper|Alice Cooping|1948-02-04
Alice Diop|Aileen Devop|1979
Alice Evans|Aileen Evers|1971-08-02
Alice Eve|Aileen Eva|1982-02-06
Alice in Chains|Annie is Chained|
Alice Isaaz|Adele Isman|1991-07-26
Alice Krige|Aileen Kregg|1954-06-28
Alice Lucy|Aileen Lucille|
Alice Sapritch|Aileen Saprint|1916-07-29 – 1990-03-24
Alice Walker|Annie Walking|1944-02-09
Alicia Silverstone|Alisha Silberstein|1976-10-04
Alicia Vikander|Alicia Vakanger|1988-10-03
Alicia von Rittberg|Alina von Rittburg|1993-12-10
Alicia Witt|Alisha Wytt|1975-08-21
Alicja Bachleda-Curuś|Agnieszka Bernacki-Cukier|1983-05-12
Alida Valli|Alina Villa|1921-05-31 – 2006-04-22
Alina Nastase|Alena Nanaste|1990-03-19
Alisa Freyndlikh|Alina Feundlikh|1934-12-08
Alisan Porter|Alisha Porting|1981-06-20
Alisha Wainwright|Alicia Waynewrong|1989-07-14
Alison Bechdel|Alyson Becherd|1960-09-10
Alison Brie|Alyssa Breen|1982-12-29
Alison Doody|Alyssa Goody|1966-11-11
Alison Eastwood|Alice Eastwald|1972-05-22
Alison Lohman|Alyssa Lohoff|1979-09-18
Alison Sudol|Alyssa Sundell|1985-12-23
Alistair Moulton Black|Alexander Moulten Bleak|
Allan A. Goldstein|Allen A. Goldstueck|1949-05-23
Allan Arkush|Allen Arkash|1948-04-30
Allan Dwan|Allen Dwen|1885-04-03 – 1981-12-28
Allan Edwall|Allen Ellwand|1924-08-25 – 1997-02-07
Allen Cutler|Alan Cutling|1975-10-15
Allen Danziger|Alan Danzinga|1942-07-23
Allen Garfield|Alan Gorefeld|1939-11-22 – 2020-04-07
Allen Holubar|Alan Hobular|1888-08-03 – 1923-11-20
Allen Hughes|Allan Hulls|1972-04-01
Allen Joseph|Alan Joshua|1919-05-29 – 2012-11-30
Allen Leech|Alan Leitch|1981-05-18
Allie Haze|Aly Hayse|1987-05-10
Allie Jennings|Ally Jenners|
Allison Janney|Alyson Jennay|1959-11-19
Allison Mack|Alyson Muck|1982-07-29
Allison Smith|Alyson Swift|1969-12-09
Allison Williams|Alyson Wilhelms|1988-04-13
Ally Sheedy|Ady Shilly|1962-06-13
Ally Walker|Ady Walking|1961-08-25
Allyn Ann McLerie|Alyce Ann McLerry|1926-12-01 – 2018-05-21
Alma Pöysti|Alya Pöstin|1981-03-16
Alok Chakravarty|Arvik Chandavary|
Alon Abutbul|Ari Abutban|1965-05-28 – 2025-07-29
Alonna Shaw|Alanna Shave|1964-11-07
Alva Brynsmo Ramstad|Elva Bringsmo Rugstad|
Alvy Moore|Allan Muir|1921-12-05 – 1997-05-04
Alwara Höfels|Alwina Höflers|1982-04-06
Alyla Browne|Alina Brawn|2010-04-07
Alyson Hannigan|Alisha Hammigan|1974-03-24
Alyson Reed|Alisha Weed|1958-01-11
Alyson Stoner|Alisha Stoning|1993-08-11
Alyssa Milano|Alessia Torino|1972-12-19
Alyssa Sutherland|Alessia Sufferhand|1982
Aman Chang|Anam Chiang|1963
Amanda Bearse|Amelia Baers|1958-08-09
Amanda Blake|Angela Bloke|1929-02-20 – 1989-08-16
Amanda Bynes|Amelia Byles|1986-04-03
Amanda Donohoe|Alanna Donnerhoe|1962-06-29
Amanda Peet|Angela Peak|1972-01-11
Amanda Peterson|Alanna Paulsen|1971-07-08 – 2015-07-03
Amanda Plummer|Alanna Plunder|1957-03-23
Amanda Righetti|Alanna Rigotti|1983-04-04
Amanda Seyfried|Alanna Siegfreyd|1985-12-03
Amanda Tapping|Alanna Topper|1965-08-28
Amanda Wyss|Amelia Wyse|1960-11-24
Amandla Stenberg|Amarla Stenlen|1998
Amber Benson|Aubrey Bensing|1977-01-08
Amber Heard|Aubrey Harth|1986-04-22
Amber Kuo|Aubrey Keung|1986-02-19
Amber Midthunder|Aubrey Middonner|1997-04-26
Amber Stevens West|Aubrey Stephans East|1986-10-07
Amber Tamblyn|Aubrey Tymblane|1983-05-14
Amber Valletta|Aubrey Valencia|1974-02-09
America Ferrera|Arizona Ferrano|1984-04-18
Ami Tomite|Anu Tomori|1994-03-17
Amidou|Adimou|1935-08-02 – 2013-09-19
Amiée Conn|Aimée Comm|
Aml Ameen|Amir Ameel|1985-07-30
Amorn Surangkanjanajai|Amorn Surganjankanajani|1953-03-23
Amr Waked|Amid Woked|1973-04-12
Amrish Puri|Amesh Purvin|1932-06-22 – 2005-01-12
Amy Adams|Annie Abrams|1974-08-20
Amy Brenneman|Annie Brennamen|1964-06-22
Amy Hargreaves|Annie Hargroves|1970-01-27
Amy Heckerling|Annie Hackerlind|1954-05-07
Amy Irving|Annie Irven|1953-09-10
Amy Johnston|Annie Jameston|
Amy Lalonde|Anna Lolandi|1975-07-26
Amy Locane|Annie Luccone|1971-12-19
Amy Madigan|Annie Maddagan|1950-09-11
Amy Manson|Annie Mansion|1985-09-09
Amy Morton|Annie Morty|1959-04-03
Amy O'Neill|Anne O'Neall|1971-07-08
Amy Poehler|Anna Pollner|1971-09-16
Amy Ryan|Anna Randy|1968-05-03
Amy Schumer|Anne Schurman|1981-06-01
Amy Seimetz|Arya Seilmatz|1981-11-25
Amy Smart|Anna Shrewd|1976-03-26
Amy Steel|Annie Stahl|1960-05-03
Amy Yasbeck|Annie Yesback|1962-09-12
Amy Yip|Anne Yīn|1966-07-10
Ana Cristina Oliveira|Ari Cristina Oliva|1973-07-24
Ana de Armas|Ava diArmadas|1988-04-30
Ana de la Reguera|Ava de la Regadera|
Ana Gasteyer|Ava Gastegger|1967-05-04
Ana Obregón|Ava Obrigón|1955-03-18
Ana Ularu|Ava Uladu|1985-06-26
Anamaria Marinca|Ariana Marenti|1978-04-01
Anamaria Vartolomei|Anastasia Vartinomei|1999-04-09
Ananda George|Arjun Geoff|1979-11-25
Anat Atzmon|Alya Atzman|1958-11-27
Anatole Litvak|Anatoli Litvan|1902-06-03 – 1974-12-15
Anatole Taubman|Anatoli Tobmann|1970-12-23
Anatoli Karpov|Arkadiy Kashkov|1951-05-23
Anatoliy Solonitsyn|Aleksandr Solomintsyn|1934-08-30 – 1982-06-11
Anaïs Bret|Anaís Brès|1980
Anders Danielsen Lie|Arvid Daliensen Lind|1979
Anders Holm|Adrian Hohl|1981-05-29
Anders Thomas Jensen|André Tomas Jansen|1972-04-06
Anders W. Berthelsen|Anton W. Barthelson|1969-09-28
Andi Matichak|Anya Maricak|1994-05-03
Andi Vasluianu|Arno Vasilescu|1974-06-23
Andie MacDowell|Angie MacDonnell|1958-04-21
Andre Braugher|Andrew Brower|1962-07-01 – 2023-12-11
Andre Gower|Andrew Gauer|1973-04-27
Andre Gregory|Andrew Gorgory|1934-05-11
Andrea Arnold|Annika Arthur|1961-04-05
Andrea Eckert|Annika Ecking|1958-09-17
Andrea Elson|Angela Ellsen|1969-03-06
Andrea Fischer|Angela Fischke|1960-01-14
Andrea Frigerio|Angela Frigideo|1961-08-30
Andrea Heick Gadeberg|Ariane Heis Gnadenburg|1998-11-24
Andrea Libman|Annika Liebmann|1984-07-19
Andrea Martin|Annika Marty|1947-01-15
Andrea Monier|Annika Montier|
Andrea Occhipinti|Annika Orripinti|1957-09-12
Andrea Riseborough|Angela Reisbury|1981-11-20
Andrea Sawatzki|Annika Siwutzki|1963-02-23
Andreas Kunze|André S. Konze|1952-08-22 – 2010-04-08
Andreas Mannkopff|André S. Mannsberg|1939-05-17 – 2015-10-09
Andreas Wilson|André S. Wilton|1981-03-07
Andrei Abrikosov|Anton Abraminov|1906-11-14 – 1973-10-21
Andrei Fajt|Andrei Fojt|1903-08-29 – 1976-01-16
Andrei Konchalovsky|Andrei Kanshonovsky|1937-08-20
Andrei Tarkovsky|Andrey Charkovsky|1932-04-04 – 1986-12-29
Andrew Adamson|Adam Andrewson|1966-12-01
Andrew Ahn|Adrian An|198x
Andrew Barth Feldman|Anton Bart Fieldmann|2002-05-07
Andrew Bergman|André Borgmann|1945-02-20
Andrew Bryniarski|Andy Brinyerski|1969-02-13
Andrew Chan|Andrew Chen|
Andrew Cruickshank|Andy Cruikshenk|1907-12-25 – 1988-04-29
Andrew Davis|Andy Davids|1946-11-21
Andrew Dice Clay|Andre Dice Cley|1957-09-29
Andrew Dominik|Andy Domonique|1967-10-07
Andrew Douglas|Andy Duckless|1952-08-10
Andrew Duggan|André Duvann|1923-12-28 – 1988-05-15
Andrew Erwin|Andre Ewald|
Andrew Garfield|Andy Gorefeld|1983-08-20
Andrew Jacobs|Andre Josephs|1993
Andrew Jarecki|Andrew Jaracko|19xx
Andrew Knott|Adrian Knutt|1979-11-22
Andrew Koji|Andre Korin|1987
Andrew L. Stone|Andy L. Stein|1902-07-16 – 1999-06-09
Andrew Lau|Anders Lei|1960-04-04
Andrew Lincoln|André Lintcold|1973-09-14
Andrew Lloyd Webber|Andrew Llong Wavver|1948-03-22
Andrew Marton|Andy Marson|1904-01-26 – 1992-01-07
Andrew McCarthy|Archie McCanny|1962-11-29
Andrew Miller|Andre Mueller|1969-02-25
Andrew Neel|Archie Nayl|1978
Andrew Niccol|André Nichol|1964-06-10
Andrew R. Jones|Andy R. James|1972-12-16
Andrew Robinson|Adrian Robensen|1942-02-14
Andrew Rubin|Andy Ruby|1946-06-22 – 2015-10-05
Andrew Scott|Andre Scotch|1976-10-21
Andrew Shue|Andy Shoe|1967-02-20
Andrew Simpson|Andre Sampson|1989-01-01
Andrew Sipes|Andy Seyps|
Andrew Stanton|Andrew Stanturn|1965-12-03
Andrew Strong|Andy Stark|1973-11-14
Andrew V. McLaglen|André V. MacLachlang|1920-07-28 – 2014-08-30
Andrey Smolyakov|Anton Smolyarenko|1958-11-24
Andrzej Bartkowiak|Arkady Bartoliak|1950
Andrzej Sekuła|Arkady Sakruła|1954-12-19
Andrzej Żuławski|Arkady Żurawski|1940-11-22 – 2016-02-17
André Bourvil|Adrien Bourvaume|1917-07-27 – 1970-09-23
André Dussollier|André Dussaultier|1946-02-17
André Eisermann|Andrej Eisenmensch|1967-10-28
André Hennicke|Arne Hernicken|1959-09-21
André Holland|Andrew Helgoland|1979-12-28
